Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
LightGBM,Gaussian noise x3,Noise level,0.4600164303756641,0.21700138032302047,0.6338504936530325,0.17461706783369804,0.536459961449565
CatBoost,Gaussian noise x3,Noise level,0.5094188863979832,0.22049549032057003,0.5531734837799718,0.23785557986870898,0.48846396469587716
KNN,Gaussian noise x3,Noise level,0.47316001889180603,0.24305861686506489,0.6256699576868829,0.1610503282275711,0.5218929846417629
GaussianNB,Gaussian noise x3,Noise level,0.42442948501184263,0.16473378372350903,0.664033850493653,0.1912472647702407,0.2959735376581826
SVM,Gaussian noise x3,Noise level,0.4818854804630727,0.19555651869942556,0.5884344146685473,0.22954048140043765,0.5083243097467174
MLP,Gaussian noise x3,Noise level,0.5683081273488473,0.24720164075883785,0.4445698166431594,0.30984682713347916,0.42532244589956036
Logistic Regression,Temp +2C & Humidity -5%,Combined shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.6645581935232805
Ridge Classifier,Temp +2C & Humidity -5%,Combined shift,0.7759699624530664,0.5781564297708807,0.12552891396332863,0.29431072210065645,0.0435938181153408
SGD Classifier,Temp +2C & Humidity -5%,Combined shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.6650329433911524
Decision Tree,Temp +2C & Humidity -5%,Combined shift,0.5083333333333333,0.46158526253583176,0.6558533145275035,0.007658643326039387,0.48884579219558066
Random Forest,Temp +2C & Humidity -5%,Combined shift,0.5480572597137015,0.5027365240336563,0.6220028208744711,0.0010940919037199124,0.4484091713817049
Extra Trees,Temp +2C & Humidity -5%,Combined shift,0.702276707530648,0.5950111038890984,0.43441466854724964,0.0350109409190372,0.29560614356321235
AdaBoost,Temp +2C & Humidity -5%,Combined shift,0.4973544973544973,0.46482307270693723,0.6685472496473907,0.0010940919037199124,0.4934841213910982
Gradient Boosting,Temp +2C & Humidity -5%,Combined shift,0.6206225680933852,0.561573397009496,0.5500705218617772,0.0,0.3744374177922888
XGBoost,Temp +2C & Humidity -5%,Combined shift,0.6770642201834862,0.5936860284329661,0.4795486600846262,0.01312910284463895,0.3208186309103741
LightGBM,Temp +2C & Humidity -5%,Combined shift,0.4540540540540541,0.4229234233022197,0.7038081805359662,0.006564551422319475,0.542422337771175
CatBoost,Temp +2C & Humidity -5%,Combined shift,0.5305699481865285,0.49134405495279226,0.6389280677009873,0.0,0.46731290290733185
KNN,Temp +2C & Humidity -5%,Combined shift,0.27760891590678827,0.051293747162874936,0.8067700987306065,0.15426695842450766,0.7174440876267807
GaussianNB,Temp +2C & Humidity -5%,Combined shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.4840846147098262
SVM,Temp +2C & Humidity -5%,Combined shift,0.355464759959142,0.18697379666474306,0.7545839210155149,0.1050328227571116,0.6347450302506481
MLP,Temp +2C & Humidity -5%,Combined shift,0.46352723915050786,0.25846856930665135,0.6459802538787024,0.13457330415754923,0.5301033340978998
Logistic Regression,Temp +1C & CO2 +20ppm,Combined shift,0.8825,0.7908116273186764,0.004231311706629055,0.2024070021881838,0.018376601483479527
Ridge Classifier,Temp +1C & CO2 +20ppm,Combined shift,0.7473572938689218,0.5315466665247849,0.0028208744710860366,0.5207877461706784,0.07220648669948537
SGD Classifier,Temp +1C & CO2 +20ppm,Combined shift,0.8836045056320401,0.7928019580188013,0.004231311706629055,0.20021881838074398,0.01774684571931129
